Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ECA;SL;ECC;1.09;109;6;0.33;1;100;99;1.508747;1.64453423;0.016611457
ECA;SL;ECC;1.13;113;7;0.22;1;100;99;1.508747;1.70488411;0.017221052
ECA;SL;ECC;1.29;129;8;0.11;1;100;99;1.508747;1.94628363;0.019659431
ThickA;SL;ECC;0.98;98;1;0.89;1;100;99;1.508747;1.47857206;0.014935071
ThickA;SL;ECC;0.97;97;2;0.78;1;100;99;1.508747;1.46348459;0.014782673
ThickA;SL;ECC;0.92;92;3;0.67;1;100;99;1.508747;1.38804724;0.014020679
ThickA;SL;ECC;0.85;85;4;0.56;1;100;99;1.508747;1.28243495;0.012953888
ThickA;SL;ECC;0.88;88;5;0.44;1;100;99;1.508747;1.32769736;0.013411084
ThickA;SL;ECC;0.86;86;6;0.33;1;100;99;1.508747;1.29752242;0.013106287
ThickA;SL;ECC;0.87;87;7;0.22;1;100;99;1.508747;1.31260989;0.013258686
ThickA;SL;ECC;0.89;89;8;0.11;1;100;99;1.508747;1.34278483;0.013563483
ECB;SL;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECB;SL;ECC;0.99;99;2;0.78;1;100;99;1.508747;1.49365953;0.01508747
ECB;SL;ECC;1;100;3;0.67;1;100;99;1.508747;1.508747;0.015239869
ECB;SL;ECC;1.04;104;4;0.56;1;100;99;1.508747;1.56909688;0.015849463
ECB;SL;ECC;1.08;108;5;0.44;1;100;99;1.508747;1.62944676;0.016459058
ECB;SL;ECC;1.19;119;6;0.33;1;100;99;1.508747;1.79540893;0.018135444
ECB;SL;ECC;1.27;127;7;0.22;1;100;99;1.508747;1.91610869;0.019354633
ECB;SL;ECC;1.44;144;8;0.11;1;100;99;1.508747;2.17259568;0.021945411
ThickB;SL;ECC;0.95;95;1;0.89;1;100;99;1.508747;1.43330965;0.014477875
ThickB;SL;ECC;0.9;90;2;0.78;1;100;99;1.508747;1.3578723;0.013715882
ThickB;SL;ECC;0.84;84;3;0.67;1;100;99;1.508747;1.26734748;0.01280149
ThickB;SL;ECC;0.77;77;4;0.56;1;100;99;1.508747;1.16173519;0.011734699
